l3_name,attribute_name,attribute_value,data_type,polarity1,value1,unit1,polarity2,value2,unit2,key_value,display_value,mod_reason
ball screw support bearings,across wrench flats,"3/4""",numerical_with_unit,,0.75,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"3/4""",numerical_with_unit,,0.75,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"0.562""",numerical_with_unit,,0.562,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"0.562""",numerical_with_unit,,0.562,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"0.437""",numerical_with_unit,,0.437,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"3/8""",numerical_with_unit,,0.375,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"0.312""",numerical_with_unit,,0.312,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"1 1/2""",numerical_with_unit,,1.5,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"1""",numerical_with_unit,,1.0,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"1""",numerical_with_unit,,1.0,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"7/8""",numerical_with_unit,,0.875,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"7/8""",numerical_with_unit,,0.875,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"3/4""",numerical_with_unit,,0.75,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"5/8""",numerical_with_unit,,0.625,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"5/8""",numerical_with_unit,,0.625,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"0.562""",numerical_with_unit,,0.562,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"0.562""",numerical_with_unit,,0.562,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"0.437""",numerical_with_unit,,0.437,"""",,<NA>,,,<NA>,
ball screw support bearings,across wrench flats,"0.437""",numerical_with_unit,,0.437,"""",,<NA>,,,<NA>,
