l3_name,attribute_name,attribute_value,data_type,polarity1,value1,unit1,polarity2,value2,unit2,key_value,display_value,mod_reason
bearing accessories,available shaft size,"2 3/8""",range1,,2.375,"""",,2.4375,"""",2097,<NA>,
bearing accessories,available shaft size,"1 3/8""",range1,,1.375,"""",,1.4375,"""",2101,<NA>,
bearing accessories,available shaft size,"1 1/8""",range1,,1.125,"""",,1.1875,"""",2103,<NA>,
bearing accessories,available shaft size,"7/8""",range1,,0.875,"""",,1.0,"""",2104,<NA>,
bearing accessories,available shaft size,"2 3/8""",range1,,2.375,"""",,2.4375,"""",2106,<NA>,
bearing accessories,available shaft size,"2""",range1,,2.0,"""",,2.1875,"""",2107,<NA>,
bearing accessories,available shaft size,"1 15/16""",range1,,1.9375,"""",,2.0,"""",2108,<NA>,
bearing accessories,available shaft size,"1 11/16""",range1,,1.6875,"""",,1.75,"""",2109,<NA>,
bearing accessories,available shaft size,"1 1/4""",range1,,1.25,"""",,1.375,"""",2111,<NA>,
bearing accessories,available shaft size,"1 1/8""",range1,,1.125,"""",,1.1875,"""",2112,<NA>,
bearing accessories,available shaft size,"7/8""",range1,,0.875,"""",,1.0,"""",2113,<NA>,
bearing accessories,available shaft size,"1 15/16""",range1,,1.9375,"""",,2.0,"""",2115,<NA>,
bearing accessories,available shaft size,"2""",range1,,2.0,"""",,2.1875,"""",2122,<NA>,
bearing accessories,available shaft size,"1 15/16""",range1,,1.9375,"""",,2.0,"""",2123,<NA>,
bearing accessories,available shaft size,"1 11/16""",range1,,1.6875,"""",,1.75,"""",2124,<NA>,
bearing accessories,available shaft size,"1 1/4""",range1,,1.25,"""",,1.375,"""",2126,<NA>,
bearing accessories,available shaft size,"1 1/8""",range1,,1.125,"""",,1.1875,"""",2127,<NA>,
mounted bearings,bolt spacing,"9 1/4""",range1,,9.25,"""",,10.75,"""",13073,<NA>,
mounted bearings,bolt spacing,"7 1/8""",range1,,7.125,"""",,8.875,"""",13430,<NA>,
