units,display,type,space,separator,range,system_of_measurement,fraction_multiple_of_10
"""","""",Fraction,,",",to,Imperial,
"""""","""",Fraction,,",",to,Imperial,
icnh,"""",Fraction,,",",to,Imperial,
In,"""",Fraction,,",",to,Imperial,
IN,"""",Fraction,,",",to,Imperial,
in,"""",Fraction,,",",to,Imperial,
In.,"""",Fraction,,",",to,Imperial,
in.,"""",Fraction,,",",to,Imperial,
IN.,"""",Fraction,,",",to,Imperial,
Inch,"""",Fraction,,",",to,Imperial,
inch,"""",Fraction,,",",to,Imperial,
Inches,"""",Fraction,,",",to,Imperial,
inches,"""",Fraction,,",",to,Imperial,
%,%,Decimal,,",",to,Imperial,
percent,%,Decimal,,",",to,Imperial,
Percent,%,Decimal,,",",to,Imperial,
% lel,% lel,Decimal,,",",to,Imperial,
%lel,% lel,Decimal,,",",to,Imperial,
% MEW,% MEW,Decimal,,",",to,Imperial,
%_MEW,% MEW,Decimal,,",",to,Imperial,
% MW,% MW,Decimal,,",",to,Imperial,
%_MW,% MW,Decimal,,",",to,Imperial,
% rh,% rh,Decimal,,",",to,Imperial,
%_rh,% rh,Decimal,,",",to,Imperial,
% v/v,% v/v,Decimal,,",",to,Imperial,
%_v/v,% v/v,Decimal,,",",to,Imperial,
% vol,% vol,Decimal,,",",to,Imperial,
%_vol,% vol,Decimal,,",",to,Imperial,
°,°,Decimal,,",",to,Imperial,
Â°,°,Decimal,,",",to,Imperial,
deg,°,Decimal,,",",to,Imperial,
Deg to,°,Decimal,,",",to,Imperial,
deg to,°,Decimal,,",",to,Imperial,
Deg.,°,Decimal,,",",to,Imperial,
deg.,°,Decimal,,",",to,Imperial,
Deg_to,°,Decimal,,",",to,Imperial,
deg_to,°,Decimal,,",",to,Imperial,
Degree,°,Decimal,,",",to,Imperial,
degree,°,Decimal,,",",to,Imperial,
Degrees,°,Decimal,,",",to,Imperial,
degrees,°,Decimal,,",",to,Imperial,
°Bx,°Bx,Decimal,,",",to,Imperial,
brix,°Bx,Decimal,,",",to,Imperial,
°C,°C,Decimal,,",",to,Metric,
°c,°C,Decimal,,",",to,Metric,
â€šÂ°c,°C,Decimal,,",",to,Metric,
Â°c,°C,Decimal,,",",to,Metric,
Deg C,°C,Decimal,,",",to,Metric,
deg c,°C,Decimal,,",",to,Metric,
Deg. C,°C,Decimal,,",",to,Metric,
deg. c,°C,Decimal,,",",to,Metric,
deg. C,°C,Decimal,,",",to,Metric,
Deg._C,°C,Decimal,,",",to,Metric,
deg._c,°C,Decimal,,",",to,Metric,
deg._C,°C,Decimal,,",",to,Metric,
Deg.C,°C,Decimal,,",",to,Metric,
deg.c,°C,Decimal,,",",to,Metric,
Deg_C,°C,Decimal,,",",to,Metric,
deg_c,°C,Decimal,,",",to,Metric,
degree c,°C,Decimal,,",",to,Metric,
Degrees C,°C,Decimal,,",",to,Metric,
